objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
col001_1,coll001-1.jpg,Earl Rambo - Toll Gate,Unknown,Unknown,Man driving wagon through hills,men;wagons;horses;mountains;trails,,,,,,Image;StillImage,image/jpg,eng,,
col001_2,coll001-2.jpg,Earl Rambo - Winter,Unknown,1915,Man in horse drawn buggy,men;carriages;horses,,,,,,Image;StillImage,image/jpg,eng,,
col001_3,coll001-3.jpg,Four horse riders,Unknown,1917,"Earl Rambo, Frank Hudson, Etta Hudson, and Lissa Cleek posing for a picture",men;women;horses,,,,,,Image;StillImage,image/jpg,eng,,
col001_4,coll001-4.jpg,Creamery Stack,Unknown,Unknown,Challenge Butter Creamery Stack,"smokestack;Challenge Butter;creamery,dairy","Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_5,coll001-5.jpg,Burial Plots at the Meridian Cemetary,Unknown,Unknown,View of the Meridian Cemetery,cemetery;men;women;crowd;flowers;headstones,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_6,coll001-6.jpg,Horses Transport Milk Cans to the Creamery,C. Gray,1934,Outside of Meridian Creamery,creamery;men;horses;wagons;smokestacks,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_7,coll001-7.jpg,Amos Whitley & Family,Unknown,1886,Amos Whitley and family outside their home,men;women;children;homesteads,,,,,,Image;StillImage,image/jpg,eng,,
col001_8,coll001-8.jpg,Creamery Workers Perform Maintenance,C. Gray,1934,Worker outside Meridian Creamery,creamery;men;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_9,coll001-9.jpg,M.M. Louderbough & Son Hardware Store,C. Gray,Unknown,Storefront of local hardware store,stores;storefronts;hardware;automobiles,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_10,coll001-10.jpg,Meridian Grade School,Unknown,1904,Children playing outside Meridian Grade School,school;children;teachers;playgrounds;school yards,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_12,coll001-12.jpg,Peggy,Unknown,1946,Young woman outside storefront with dog,women;dogs;storefronts;stores;pharmacies;automobiles,,,,,,Image;StillImage,image/jpg,eng,,
col001_13,coll001-13.jpg,Ada County Dairymen's Association,C. Gray,Unknown,Outside the Ada County Dairymen's Association,dairymen;Challenge Butter;milkcans;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_14,coll001-14.jpg,Fletcher Oil Co.,C. Gray,1933,Small oil company in Meridian,oil;Fletcher Oil Company;buildings,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_15,coll001-15.jpg,Meridian Street Scene,Unknown,Unknown,Ida & E. 2nd Street scene,crowd;men;women;storefronts;streets,"Meridian, Idaho",43.611034,-116.390124,,,Image;StillImage,image/jpg,eng,,
col001_16,coll001-16.jpg,Meridian Creamery Smokestack,Unknown,1934,The new smoke stack for the creamery,creamery;smokestack;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_17,coll001-17.jpg,Rural High School Gym,Unknown,Unknown,Outside of the rural high school's gym,schools;gym;buildings;construction,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_18,coll001-18.jpg,Meridian Cemetery,C. Gray,1936,View inside the cemetery,cemeteries;headstones;trees,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_19,coll001-19.jpg,Swede Boice in front of Bus,Unknown,1946,Photograph of Swede Boice in front of a bus,Swede Boice;buses;Pacific Transit;men,,,,,,Image;StillImage,image/jpg,eng,,
col001_20,coll001-20.jpg,Side View of the Meridian Creamery,C. Gray,1934,Man exiting the side of the Meridian Creamery,creamery;men;smokestacks,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_21,coll001-21.jpg,"Main & Broadway, N.E. Corner",C. Gray,Unknown,View of store fronts off Main & Broadway,hardware;stores;storefronts;ice cream,"Meridian, Idaho",43.609547,-116.392696,,,Image;StillImage,image/jpg,eng,,
col001_22,coll001-22.jpg,Bank & Biddles,C. Gray,Unknown,"Slightly obscured view of a building, truck, and men working on the second floor",stores;storefronts;automobiles;buildings;men;construction,,,,,,Image;StillImage,image/jpg,eng,,
col001_23,coll001-23.jpg,Horse Approaches the Meridian Creamery,C. Gray,Unknown,"Shot outside the creamery, showing a horse in the background",creamery;horses;smokestacks;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_24,coll001-24.jpg,Good Friends,Unknown,1947,Two women get their photo taken,women;candid,,,,,,Image;StillImage,image/jpg,eng,,
col001_25,coll001-25.jpg,Meridian Creamery Workers,C. Gray,1934,Men working at the creamery,creamery;men;construction;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_26,coll001-26.jpg,Alice's Father-In-law's Place,Unknown,Unknown,Outside shot of a home,houses;buildings;streets,,,,,,Image;StillImage,image/jpg,eng,,
col001_28,coll001-28.jpg,Exchange Bank,Unknown,Unknown,Two pictures of the exchange bank on E. 2nd & Broadway and a sale with a crowd,buildings;crowds;exchange bank;banks;sale,"Meridian, Idaho",43.610098,-116.390129,,,Image;StillImage,image/jpg,eng,,
